country_full_name,World Port Index Number,Region Name,name,Alternate Port Name,country,World Water Body,Liquified Natural Gas Terminal Depth (m),Harbor Size,Harbor_size_nr,Harbor Type,Harbor Use,y,x,Total_Harbor_size_nr,fraction
Australia,54410.0,Australia -- 53290,Thevenard, ,AU,Great Australian Bight; Indian Ocean,0.0,Small,1,Coastal (Natural),Unknown,-32.166667,133.65,54,0.018518518518518517
Australia,54320.0,Australia -- 53290,Whyalla, ,AU,Spencer Gulf; Indian Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-33.033333,137.583333,54,0.018518518518518517
Australia,54500.0,Australia -- 53290,Bunbury, ,AU,Indian Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-33.316667,115.633333,54,0.018518518518518517
Australia,54030.0,Australia -- 53290,Melbourne, ,AU,Bass Strait; South Pacific Ocean,0.0,Large,3,Coastal (Natural),Unknown,-37.833333,144.966667,54,0.05555555555555555
Australia,53655.0,Australia -- 53290,Botany Bay, ,AU,Tasman Sea; South Pacific Ocean,0.0,Small,1,Coastal (Natural),Unknown,-34.0,151.233333,54,0.018518518518518517
Australia,53610.0,Australia -- 53290,Newcastle, ,AU,Tasman Sea; South Pacific Ocean,0.0,Large,3,Coastal (Breakwater),Unknown,-32.916667,151.783333,54,0.05555555555555555
Australia,53450.0,Australia -- 53290,Gladstone,Port Curtis,AU,Coral Sea; South Pacific Ocean,0.0,Small,1,River (Natural),Unknown,-23.85,151.25,54,0.018518518518518517
Australia,53360.0,Australia -- 53290,Mourilyan Harbour, ,AU,Coral Sea; South Pacific Ocean,0.0,Small,1,Coastal (Natural),Unknown,-17.6,146.133333,54,0.018518518518518517
Australia,53340.0,Australia -- 53290,Cairns, ,AU,Coral Sea; South Pacific Ocean,0.0,Small,1,River (Natural),Unknown,-16.916667,145.783333,54,0.018518518518518517
Australia,53400.0,Australia -- 53290,Mackay, ,AU,Coral Sea; South Pacific Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-21.116667,149.216667,54,0.018518518518518517
Australia,53405.0,Australia -- 53290,Hay Point, ,AU,Coral Sea; South Pacific Ocean,0.0,Small,1,Open Roadstead,Unknown,-21.283333,149.3,54,0.018518518518518517
Australia,53318.0,Australia -- 53290,Cape Flattery Harbor, ,AU,Coral Sea; South Pacific Ocean,0.0,Small,1,Open Roadstead,Unknown,-14.95,145.35,54,0.018518518518518517
Australia,54670.0,Australia -- 53290,Darwin, ,AU,Timor Sea; Indian Ocean,0.0,Medium,2,Coastal (Natural),Cargo,-12.47138889,130.8477778,54,0.037037037037037035
Australia,54050.0,Australia -- 53290,Geelong, ,AU,Bass Strait; South Pacific Ocean,0.0,Medium,2,Coastal (Natural),Cargo,-38.15,144.366667,54,0.037037037037037035
Australia,54620.0,Australia -- 53290,Port Hedland, ,AU,Indian Ocean,0.0,Small,1,River (Natural),Unknown,-20.316667,118.583333,54,0.018518518518518517
Australia,54520.0,Australia -- 53290,Fremantle, ,AU,Indian Ocean,0.0,Large,3,Coastal (Breakwater),Cargo,-32.05,115.75,54,0.05555555555555555
Australia,54630.0,Australia -- 53290,Broome, ,AU,Indian Ocean,0.0,Small,1,Coastal (Natural),Unknown,-17.966667,122.233333,54,0.018518518518518517
Australia,54760.0,Tasmania -- 54700,Hobart, ,AU,South Pacific Ocean,0.0,Medium,2,River (Natural),Cargo,-42.883333,147.333333,54,0.037037037037037035
Australia,54605.0,Australia -- 53290,Dampier, ,AU,Indian Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,-20.633333,116.716667,54,0.037037037037037035
Australia,53300.0,Australia -- 53290,Thursday Island,Port Kennedy,AU,Torres Strait; South Pacific Ocean,0.0,Small,1,Coastal (Natural),Unknown,-10.583333,142.216667,54,0.018518518518518517
Australia,54350.0,Australia -- 53290,Port Lincoln, ,AU,Spencer Gulf; Indian Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,-34.716667,135.85,54,0.037037037037037035
Australia,54220.0,Australia -- 53290,Port Adelaide, ,AU,Indian Ocean,0.0,Medium,2,River (Natural),Unknown,-34.85,138.5,54,0.037037037037037035
Australia,53690.0,Australia -- 53290,Port Kembla, ,AU,Tasman Sea; South Pacific Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,-34.483333,150.916667,54,0.037037037037037035
Australia,53380.0,Australia -- 53290,Townsville, ,AU,Coral Sea; South Pacific Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-19.266667,146.816667,54,0.018518518518518517
Australia,53650.0,Australia -- 53290,Sydney, ,AU,Tasman Sea; South Pacific Ocean,0.0,Large,3,Coastal (Natural),Cargo,-33.866667,151.2,54,0.05555555555555555
Bahrain,48325.0,Bahrain -- 48305,Mina Salman,Khor Kaliya,BH,Persian Gulf; Indian Ocean,0.0,Medium,2,Coastal (Natural),Unknown,26.2,50.633333,7,0.2857142857142857
Bahrain,48327.0,Bahrain -- 48305,Khalifa Bin Salman, ,BH,Persian Gulf; Indian Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,26.25,50.75,7,0.2857142857142857
Bahrain,48310.0,Bahrain -- 48305,Al Manamah, ,BH,Persian Gulf; Indian Ocean,0.0,Small,1,Coastal (Natural),Unknown,26.233333,50.583333,7,0.14285714285714285
Bahrain,48320.0,Bahrain -- 48305,Sitrah,Jazirat Sitrah,BH,Persian Gulf; Indian Ocean,0.0,Medium,2,Open Roadstead,Unknown,26.166667,50.666667,7,0.2857142857142857
Bangladesh,49580.0,Bangladesh -- 49570,Mongla,Chalna Bazar,BD,Bay of Bengal; Indian Ocean,0.0,Small,1,River (Natural),Cargo,22.466667,89.6,3,0.3333333333333333
Bangladesh,49590.0,Bangladesh -- 49570,Chittagong, ,BD,Bay of Bengal; Indian Ocean,0.0,Medium,2,River (Natural),Cargo,22.316667,91.816667,3,0.6666666666666666
Barbados,11690.0,Barbados -- 11675,Bridgetown, ,BB,North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,13.1,-59.633333,1,1.0
Belgium,31310.0,Belgium -- 31240,Oostende,Ostend,BE,North Sea; North Atlantic Ocean,0.0,Small,1,River (Tide Gates),Unknown,51.233333,2.916667,9,0.1111111111111111
Belgium,31280.0,Belgium -- 31240,Zeebrugge, ,BE,North Sea; North Atlantic Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,51.333333,3.2,9,0.2222222222222222
Belgium,31270.0,Belgium -- 31240,Ghent,Ghent,BE,North Sea; North Atlantic Ocean,0.0,Medium,2,Canal or Lake,Unknown,51.066667,3.733333,9,0.2222222222222222
Belgium,31260.0,Belgium -- 31240,Bruxelles,Brussels,BE,North Sea; North Atlantic Ocean,0.0,Small,1,River (Tide Gates),Unknown,50.866667,4.35,9,0.1111111111111111
Belgium,31250.0,Belgium -- 31240,Antwerpen,Antwerp; Anvers,BE,North Sea; North Atlantic Ocean,0.0,Large,3,River (Tide Gates),Unknown,51.216667,4.4,9,0.3333333333333333
Belize,9590.0,Belize -- 9580,Belize City, ,BZ,Caribbean Sea; North Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,17.5,-88.183333,1,1.0
Benin,46110.0,Benin -- 46100,Cotonou,Appi; Kentou; Kotonu,BJ,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,6.35,2.433333,2,1.0
Bermuda,9950.0,Bermuda Islands -- 9930,Ireland Island,Freeport,BM,North Atlantic Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,32.316667,-64.833333,4,0.5
Bermuda,9960.0,Bermuda Islands -- 9930,Hamilton, ,BM,North Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,32.3,-64.783333,4,0.25
Bermuda,9940.0,Bermuda Islands -- 9930,St George,Saint George's Harbor,BM,North Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,32.383333,-64.683333,4,0.25
Bosnia and Herzegovina,41415.0,Croatia -- 40877,Neum, ,BA,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,0.0,Small,1, ,Unknown,42.916667,17.6,1,1.0
Brazil,12900.0,Brazil SE Coast -- 12700,Dtse / Gegua Oil Terminal, ,BR,South Atlantic Ocean,0.0,Medium,2,Open Roadstead,Unknown,-22.816667,-43.15,45,0.044444444444444446
Brazil,12650.0,Brazil NE Coast Cont -- 12575,Porto De Mucuripe,Ceara; Fortaleza,BR,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-3.716667,-38.483333,45,0.022222222222222223
Brazil,12820.0,Brazil SE Coast -- 12700,Portocel, ,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-19.85,-40.05,45,0.022222222222222223
Brazil,12772.0,Brazil SE Coast -- 12700,Aratu, ,BR,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-12.783333,-38.5,45,0.022222222222222223
Brazil,12710.0,Brazil SE Coast -- 12700,Cabedelo, ,BR,South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-6.966667,-34.833333,45,0.022222222222222223
Brazil,12940.0,Brazil SE Coast -- 12700,Angra Dos Reis, ,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-23.016667,-44.316667,45,0.022222222222222223
Brazil,12690.0,Brazil NE Coast Cont -- 12575,Natal, ,BR,South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-5.783333,-35.2,45,0.022222222222222223
Brazil,12585.0,Brazil NE Coast Cont -- 12575,Itaqui, ,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-2.566667,-44.366667,45,0.022222222222222223
Brazil,12560.0,Brazil NE Coast -- 12470,Manaus,Manaos,BR,South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-3.133333,-60.016667,45,0.022222222222222223
Brazil,12490.0,Brazil NE Coast -- 12470,Belem,Para,BR,South Atlantic Ocean,0.0,Medium,2,River (Natural),Unknown,-1.45,-48.5,45,0.044444444444444446
Brazil,12930.0,Brazil SE Coast -- 12700,Niteroi,Nictheroy,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-22.883333,-43.116667,45,0.022222222222222223
Brazil,12920.0,Brazil SE Coast -- 12700,Rio De Janeiro, ,BR,South Atlantic Ocean,0.0,Large,3,Coastal (Natural),Unknown,-22.9,-43.166667,45,0.06666666666666667
Brazil,12730.0,Brazil SE Coast -- 12700,Recife,Pernambuco,BR,South Atlantic Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,-8.05,-34.866667,45,0.044444444444444446
Brazil,13055.0,Brazil SE Coast -- 12700,Tramandai,Maritimo Almirande; Tranmandai,BR,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-29.983333,-50.133333,45,0.022222222222222223
Brazil,12760.0,Brazil SE Coast -- 12700,Port De Aracaju,Carmopolis,BR,South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-10.916667,-37.05,45,0.022222222222222223
Brazil,12750.0,Brazil SE Coast -- 12700,Porto De Maceio, ,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-9.666667,-35.733333,45,0.022222222222222223
Brazil,12770.0,Brazil SE Coast -- 12700,Port De Salvador,Bahia Salvador,BR,South Atlantic Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,-12.966667,-38.516667,45,0.044444444444444446
Brazil,13060.0,Brazil SE Coast -- 12700,Rio Grande,San Pedro Do Sul; Sao Pedro Do Sul,BR,South Atlantic Ocean,0.0,Large,3,River (Natural),Unknown,-32.05,-52.083333,45,0.06666666666666667
Brazil,12810.0,Brazil SE Coast -- 12700,Port Of Ilheus,Malhado; Porto De Ilheus; Sao Jorges Dos Ilheus,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-14.783333,-39.016667,45,0.022222222222222223
Brazil,13020.0,Brazil SE Coast -- 12700,Itajai, ,BR,South Atlantic Ocean,0.0,Medium,2,River (Natural),Unknown,-26.916667,-48.633333,45,0.044444444444444446
Brazil,12950.0,Brazil SE Coast -- 12700,Gebig, ,BR,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-23.05,-44.216667,45,0.022222222222222223
Brazil,12740.0,Brazil SE Coast -- 12700,Porto De Suape, ,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,-8.4,-34.966667,45,0.022222222222222223
Brazil,12960.0,Brazil SE Coast -- 12700,Sao Sebastiao, ,BR,South Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,-23.8,-45.4,45,0.022222222222222223
Brazil,13080.0,Brazil SE Coast -- 12700,Porto Alegre, ,BR,South Atlantic Ocean,0.0,Medium,2,River (Natural),Unknown,-30.033333,-51.233333,45,0.044444444444444446
Brazil,13000.0,Brazil SE Coast -- 12700,Sao Francisco, ,BR,South Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,-26.25,-48.633333,45,0.022222222222222223
Brazil,12970.0,Brazil SE Coast -- 12700,Santos, ,BR,South Atlantic Ocean,0.0,Large,3,Coastal (Natural),Unknown,-23.95,-46.3,45,0.06666666666666667
Brazil,12850.0,Brazil SE Coast -- 12700,Vitoria,Victoria,BR,South Atlantic Ocean,0.0,Medium,2,River (Natural),Unknown,-20.316667,-40.333333,45,0.044444444444444446
Brazil,12855.0,Brazil SE Coast -- 12700,Tubarao, ,BR,South Atlantic Ocean,0.0,Large,3,Coastal (Breakwater),Unknown,-20.283333,-40.25,45,0.06666666666666667
Brazil,12980.0,Brazil SE Coast -- 12700,Paranagua, ,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-25.5,-48.516667,45,0.022222222222222223
Brazil,12935.0,Brazil SE Coast -- 12700,Guaiba Island Terminal,Sepetiba Terminal,BR,South Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,-23.016667,-44.033333,45,0.022222222222222223
British Virgin Islands,11350.0,Tortola Island -- 11345,Road Harbor, ,VG,Caribbean Sea; North Atlantic Ocean,0.0,Medium,2,Coastal (Natural),Unknown,18.416667,-64.616667,2,1.0
Brunei,51620.0,Brunei -- 51610,Muara Harbor,Brooketon,BN,South China Sea; North Pacific Ocean,0.0,Small,1,Coastal (Natural),Unknown,5.033333,115.066667,2,0.5
Brunei,51630.0,Brunei -- 51610,Bandar Seri Begawan, ,BN,South China Sea; North Pacific Ocean,0.0,Small,1,River (Natural),Unknown,4.883333,114.883333,2,0.5
Bulgaria,43510.0,Bulgaria -- 43460,Varna,Stalin,BG,Black Sea; North Atlantic Ocean,0.0,Large,3,Coastal (Breakwater),Unknown,43.183333,27.966667,4,0.75
Bulgaria,43500.0,Bulgaria -- 43460,Burgas,Burghaz; Druiba,BG,Black Sea; North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,42.483333,27.483333,4,0.25
Burma,49660.0,Burma (Myanmar) -- 49610,Moulmein Harbor, ,MM,Andaman Sea; Indian Ocean,0.0,Small,1,River (Natural),Unknown,16.483333,97.616667,5,0.2
Burma,49640.0,Burma (Myanmar) -- 49610,Bassein, ,MM,Andaman Sea; Indian Ocean,0.0,Small,1,River (Natural),Unknown,16.783333,94.733333,5,0.2
Burma,49620.0,Burma (Myanmar) -- 49610,Sittwe,Akyab,MM,Bay of Bengal; Indian Ocean,0.0,Small,1,Open Roadstead,Unknown,20.133333,92.9,5,0.2
Burma,49650.0,Burma (Myanmar) -- 49610,Rangoon, ,MM,Andaman Sea; Indian Ocean,0.0,Small,1,River (Natural),Unknown,16.766667,96.166667,5,0.2
Burma,49690.0,Burma (Myanmar) -- 49610,Mergui, ,MM,Andaman Sea; Indian Ocean,0.0,Small,1,River (Natural),Unknown,12.433333,98.6,5,0.2
Cabo Verde,45910.0,Cape Verde -- 45869,Porto Da Praia, ,CV,North Atlantic Ocean,0.0,Small,1,Coastal (Breakwater),Unknown,14.916667,-23.516667,1,1.0
Cambodia,57485.0,Cambodia -- 57478,Kampong Saom,Krong Preah Sihanouk; Sihanoukville,KH,Gulf of Thailand; South China Sea; North Pacific Ocean,0.0,Medium,2,Coastal (Breakwater),Unknown,10.633333,103.5,2,1.0
Cameroon,46280.0,Cameroon -- 46250,Douala,Duala,CM,Gulf of Guinea; North Atlantic Ocean,0.0,Medium,2,River (Natural),Unknown,4.05,9.683333,2,1.0
Canada,1820.0,Newfoundland  W Coast -- 1800,St George's, ,CA,Gulf of Saint Lawrence; North Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,48.45,-58.45,99,0.010101010101010102
Canada,3940.0,Canada Lake Huron -- 3640,Midland, ,CA,Lake Huron; Great Lakes,0.0,Small,1,Coastal (Natural),Unknown,44.75,-79.916667,99,0.010101010101010102
Canada,5560.0,New Brunswick -- 5555,Dalhousie, ,CA,Gulf of Saint Lawrence; North Atlantic Ocean,0.0,Small,1,Open Roadstead,Unknown,48.066667,-66.366667,99,0.010101010101010102
Canada,5990.0,Cape Breton Island -- 5860,North Sydney, ,CA,North Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,46.216667,-60.25,99,0.010101010101010102
Canada,3380.0,Canada Lake Erie -- 3240,Amherstburg, ,CA,Lake Erie; Great Lakes,0.0,Small,1,River (Natural),Unknown,42.1,-83.1,99,0.010101010101010102
Canada,2940.0,Canada Lake Ontario -- 2820,Trenton, ,CA,Lake Ontario; Great Lakes,0.0,Small,1,River (Natural),Unknown,44.1,-77.566667,99,0.010101010101010102
Canada,1020.0,Baffin Island -- 1010,Pond Inlet, ,CA,Northwest Passages; Arctic Ocean,0.0,Medium,2,Open Roadstead,Unknown,72.75,-76.75,99,0.020202020202020204
Canada,4140.0,Canada Lake Huron -- 3640,Little Current, ,CA,Lake Huron; Great Lakes,0.0,Small,1,Coastal (Natural),Unknown,45.983333,-81.933333,99,0.010101010101010102
Canada,2930.0,Canada Lake Ontario -- 2820,Belleville, ,CA,Lake Ontario; Great Lakes,0.0,Small,1,Coastal (Natural),Unknown,44.15,-77.4,99,0.010101010101010102
Canada,2130.0,Canada St Lawrence R -- 1930,Chicoutimi (Port Saguenay),Port Saguenay,CA,Gulf of Saint Lawrence; North Atlantic Ocean,0.0,Small,1,River (Natural),Unknown,48.433333,-71.066667,99,0.010101010101010102
Canada,18925.0,Canada West Coast -- 18080,Kitimat, ,CA,Alaska-Canada coastal waters; North Pacific Ocean,0.0,Small,1,Coastal (Natural),Unknown,54.0,-128.683333,99,0.010101010101010102
Canada,2960.0,Canada Lake Ontario -- 2820,Cobourg, ,CA,Lake Ontario; Great Lakes,0.0,Small,1,Coastal (Breakwater),Unknown,43.95,-78.166667,99,0.010101010101010102
Canada,5510.0,South Side -- 5501,Gaspe, ,CA,Gulf of Saint Lawrence; North Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,48.833333,-64.483333,99,0.010101010101010102
Canada,5600.0,New Brunswick -- 5555,Caraquet, ,CA,Gulf of Saint Lawrence; North Atlantic Ocean,0.0,Small,1,Coastal (Natural),Unknown,47.8,-64.933333,99,0.010101010101010102
